Avro,7
Cassandra,15
Flume,3
Hadoop,48
Hbase,45
Log4j,17
Mahout,12
Mina,2
Openjpa,18
Pdfbox,4
Pig,17
Tika,15
Zookeeper,6
Cxf,18
Camel,17
