num,Type,version,FBR`,FCR
45,AFG,0.98.6,0.953264605,1.090434305
46,AFG,0.98.6.1,0.952920962,1.090434305
47,AFG,0.98.7,0.996706915,1.090434305
48,AFG,0.98.8,0.975457875,1.090434305
49,AFG,0.98.9,0.96005863,1.090434305
50,AFG,0.99.0,0.855153203,0.89913625
51,AFG,0.99.1,0.891575368,0.89913625
52,AFG,1.0.0,1.145787315,0.89913625
53,AFG,1.0.1,1.122274882,0.89913625
54,AFG,1.0.1.1,1.122274882,0.89913625
55,AFG,1.0.2,1.091513616,0.89913625
56,AFG,1.0.3,1.07697201,0.89913625
57,AFG,1.1.0,1.078530716,0.89913625
58,AFG,1.1.0.1,1.078530716,0.89913625
59,AFG,1.1.1,1.053582752,0.89913625
60,AFG,1.1.2,1.03968254,0.89913625
61,AFG,1.1.3,1.013716108,0.89913625
62,AFG,1.1.4,1.005743459,0.89913625
63,AFG,1.1.6,0.987539936,0.89913625
64,AFG,1.1.7,0.983381272,0.89913625
65,AFG,1.1.8,0.976327575,0.89913625
66,AFG,1.2.0,0.95698577,0.89913625
67,AFG,1.2.1,0.951456311,0.89913625
68,AFG,1.2.2,0.93962999,0.89913625
69,AFG,1.2.3,0.929568322,0.89913625
70,AFG,1.2.4,0,0
0,BFG,0.1.0,9.682893847,9.873157539
1,BFG,0.1.1,9.682893847,9.873157539
2,BFG,0.1.2,9.682893847,9.873157539
3,BFG,0.1.3,9.682893847,9.873157539
4,BFG,0.18.0,9.469776876,9.644895199
5,BFG,0.18.1,9.469776876,9.644895199
6,BFG,0.19.0,9.393914807,9.567680865
7,BFG,0.19.1,9.386747803,9.560513861
8,BFG,0.19.2,9.386747803,9.560513861
9,BFG,0.20.1,9.165111562,9.328329953
10,BFG,0.20.2,9.165111562,9.328329953
11,BFG,0.20.3,9.165111562,9.328329953
12,BFG,0.20.4,9.165111562,9.328329953
13,BFG,0.20.5,9.165111562,9.328329953
14,BFG,0.20.6,9.165111562,9.328329953
15,BFG,0.90.0,8.725760649,8.842461122
16,BFG,0.90.1,8.725760649,8.842461122
17,BFG,0.90.2,8.725760649,8.842461122
18,BFG,0.90.3,8.725760649,8.842461122
19,BFG,0.90.4,8.725760649,8.842461122
20,BFG,0.90.5,8.725760649,8.842461122
21,BFG,0.90.6,8.725760649,8.842461122
22,BFG,0.92.0,8.405949966,8.51372549
23,BFG,0.92.1,8.405949966,8.51372549
24,BFG,0.92.2,8.405949966,8.51372549
25,BFG,0.98.10.1,6.195943205,6.285192698
26,BFG,0.98.11,6.195943205,6.285192698
27,BFG,0.98.12,6.195943205,6.285192698
28,BFG,0.98.12.1,6.195943205,6.285192698
29,BFG,0.98.13,6.195943205,6.285192698
30,BFG,0.98.14,6.195943205,6.285192698
31,BFG,0.98.15,6.195943205,6.285192698
32,BFG,0.98.16,6.195943205,6.285192698
33,BFG,0.98.16.1,6.195943205,6.285192698
34,BFG,0.98.17,0,0
35,BFG,0.98.18,0,0
36,BFG,0.98.19,0,0
37,BFG,0.98.2,6.195943205,6.285192698
38,BFG,0.98.20,0,0
39,BFG,0.98.21,0,0
40,BFG,0.98.22,0,0
41,BFG,0.98.23,0,0
42,BFG,0.98.3,6.195943205,6.285192698
43,BFG,0.98.4,6.195943205,6.285192698
44,BFG,0.98.5,6.195943205,6.285192698
45,BFG,0.98.6,6.195943205,6.285192698
46,BFG,0.98.6.1,6.195943205,6.285192698
47,BFG,0.98.7,6.195943205,6.285192698
48,BFG,0.98.8,6.195943205,6.285192698
49,BFG,0.98.9,6.195943205,6.285192698
50,BFG,0.99.0,5.810682894,5.893576741
51,BFG,0.99.1,5.810682894,5.893576741
52,BFG,1.0.0,5.810682894,5.893576741
53,BFG,1.0.1,5.810682894,5.893576741
54,BFG,1.0.1.1,5.810682894,5.893576741
55,BFG,1.0.2,5.810682894,5.893576741
56,BFG,1.0.3,0,0
57,BFG,1.1.0,5.810682894,5.893576741
58,BFG,1.1.0.1,5.810682894,5.893576741
59,BFG,1.1.1,5.810682894,5.893576741
60,BFG,1.1.2,5.810682894,5.893576741
61,BFG,1.1.3,0,0
62,BFG,1.1.4,0,0
63,BFG,1.1.6,0,0
64,BFG,1.1.7,0,0
65,BFG,1.1.8,0,0
66,BFG,1.2.0,0,0
67,BFG,1.2.1,0,0
68,BFG,1.2.2,0,0
69,BFG,1.2.3,0,0
70,BFG,1.2.4,0,0
